period_id_mnth,item,sop_family,size,brand,color,line,linegroup,plant,quantity,cogs,revenue
2021-01-01,Item 00033,Popular Products,Extra Large,Private Label,Red,A - 16 Ex Lrg Red,Ex. Lrg. Format Lines,Atlanta,1225.00000000000000000000000,28983.5000000000000000000000000,41405.0000000000000000000000000
2021-01-01,Item 00048,Popular Products,Large,Pine Top,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,220.00000000000000000000000,4804.8000000000000000000000000,6864.0000000000000000000000000
2021-01-01,Item 00177,Popular Products,Extra Large,Cave Creek,Red,A - 16 Ex Lrg Red,Ex. Lrg. Format Lines,Atlanta,2630.00000000000000000000000,62225.8000000000000000000000000,88894.0000000000000000000000000
2021-01-01,Item 00190,Popular Products,Small,Pine Top,Blue,P - 3 Small Blue,Small Format Lines,Phoenix,3833.000000000000000000000000,48832.42000000000000000000000000,69760.60000000000000000000000000
2021-01-01,Item 00228,Popular Products,Small,Snowflake,White,P - 5 Small White,Small Format Lines,Phoenix,1850.330000000000000000000000,23573.20420000000000000000000000,33676.00600000000000000000000000
2021-01-01,Item 00235,Popular Products,Medium,Snowflake,Blue,P - 8 Medium Blue,Medium Format Lines,Phoenix,22376.00000000000000000000000,417536.1600000000000000000000000,596320.4000000000000000000000000
2021-01-01,Item 00347,Popular Products,Large,Pine Top,White,A - 15 Large White,Large Format Lines,Atlanta,84.00000000000000000000000,1834.5600000000000000000000000,2620.8000000000000000000000000
2021-01-01,Item 00373,Popular Products,Large,Snowflake,Black,A - 14 Large Black,Large Format Lines,Atlanta,1057.00000000000000000000000,23084.8800000000000000000000000,32978.4000000000000000000000000
2021-01-01,Item 00383,Popular Products,Large,Private Label,Yellow,A - 12 Large Yellow,Large Format Lines,Atlanta,41441.00000000000000000000000,905071.4400000000000000000000000,1292959.2000000000000000000000000
2021-01-01,Item 00398,Popular Products,Extra Large,Pine Top,Black,A - 19 Ex Lrg Black,Ex. Lrg. Format Lines,Atlanta,62.0000000000000000000000,1466.920000000000000000000000,2095.600000000000000000000000
2021-01-01,Item 00562,Popular Products,Extra Large,Pine Top,White,A - 20 Ex Lrg White,Ex. Lrg. Format Lines,Atlanta,1770.00000000000000000000000,41878.2000000000000000000000000,59826.0000000000000000000000000
2021-01-01,Item 00591,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,44850.00000000000000000000000,979524.0000000000000000000000000,1399320.0000000000000000000000000
