_v_fcstm_id,period_id_mnth,_v_lagm_id,item,sop_family,size,brand,color,line,linegroup,plant,quantity,cogs,revenue
2022-04-01,2022-07-01,3,Item 08132,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,21000.0,458640.000,655200.000
2022-04-01,2022-10-01,6,Item 08132,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,21000.0,458640.000,655200.000
2022-04-01,2022-06-01,2,Item 08132,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,21000.0,458640.000,655200.000
2022-04-01,2022-08-01,4,Item 08132,Popular Products,Large,Snowflake,White,A - 15 Large White,Large Format Lines,Atlanta,21000.0,458640.000,655200.000
2022-04-01,2022-09-01,5,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,42000.0,917280.000,1310400.000
2022-04-01,2022-10-01,6,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,84000.0,1834560.000,2620800.000
2022-04-01,2022-08-01,4,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,42000.0,917280.000,1310400.000
2022-04-01,2022-07-01,3,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,84000.0,1834560.000,2620800.000
2022-04-01,2022-05-01,1,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,81237.0,1774216.080,2534594.400
2022-04-01,2022-11-01,7,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,42000.0,917280.000,1310400.000
2022-04-01,2022-06-01,2,Item 05465,Popular Products,Large,Snowflake,Blue,A - 13 Large Blue,Large Format Lines,Atlanta,42000.0,917280.000,1310400.000
2022-04-01,2022-11-01,7,Item 11823,Popular Products,Extra Large,Cave Creek,Yellow,A - 17 Ex Lrg Yellow,Ex. Lrg. Format Lines,Atlanta,9200.0,217672.000,310960.000
